	performance	mean	median	min	max	ontologyGroup	group	sortingMethod	features	rna_type
0	accuracy_mean	0.56266618635927	0.5371666666666667	0.43516666666666665	0.8695	all	PFmid	mann_whitney_pval	Full	lincrna
1	accuracy_std	0.053761385304584415	0.053954713520795484	0.039531632903283945	0.06451614784945961	all	PFmid	mann_whitney_pval	Full	lincrna
2	f1_mean	0.556172940777414	0.5384646456100647	0.4219392433180991	0.8754584487352431	all	PFmid	mann_whitney_pval	Full	lincrna
3	f1_std	0.07688674472877437	0.07398743093896347	0.04121029352060017	0.13480926630376092	all	PFmid	mann_whitney_pval	Full	lincrna
4	precision_mean	0.5730212224958572	0.5498063636824334	0.4469571479796409	0.8503008324678868	all	PFmid	mann_whitney_pval	Full	lincrna
5	precision_std	0.09009862459174961	0.08940536463717585	0.05188831822745052	0.13681781434299628	all	PFmid	mann_whitney_pval	Full	lincrna
6	recall_mean	0.5778663559150331	0.5601761965926928	0.3851418164848777	0.9348785104757664	all	PFmid	mann_whitney_pval	Full	lincrna
7	recall_std	0.1417890076583939	0.14111369261928866	0.04405891250915362	0.2351423788486073	all	PFmid	mann_whitney_pval	Full	lincrna
8	accuracy_mean	0.6905744680851064	0.6865000000000002	0.4873333333333333	0.8695	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
9	accuracy_std	0.051162194568900705	0.052148026488704896	0.039531632903283945	0.05959935681979574	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
10	f1_mean	0.6843216986827968	0.6807500327469298	0.5052608170304483	0.8754584487352431	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
11	f1_std	0.060744170577914244	0.05992535907811077	0.04121029352060017	0.09671328433795763	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
12	precision_mean	0.6922616644923424	0.694097770534183	0.4884899856724412	0.8503008324678868	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
13	precision_std	0.08559851051862068	0.08481416325874419	0.05188831822745052	0.11127663700744356	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
14	recall_mean	0.6951830373180536	0.6842166373415136	0.5014362916039563	0.9348785104757664	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
15	recall_std	0.0953904889775853	0.09052293125168424	0.04405891250915362	0.21222812329658236	lymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
16	accuracy_mean	0.5426272222222221	0.5322500000000001	0.43516666666666665	0.7559999999999999	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
17	accuracy_std	0.054168591853174866	0.05436795615963144	0.04245880356298326	0.06451614784945961	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
18	f1_mean	0.5360963020389041	0.5304144417167589	0.4219392433180991	0.7412287163906189	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
19	f1_std	0.07941574801240914	0.07600202254484253	0.053289408228357434	0.13480926630376092	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
20	precision_mean	0.5543402199164078	0.5403637115793303	0.4469571479796409	0.7783151317421421	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
21	precision_std	0.09080364246320646	0.09070383744102267	0.06129164249397597	0.13681781434299628	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
22	recall_mean	0.5594867424952266	0.5547180822141482	0.3851418164848777	0.7394270929421767	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
23	recall_std	0.14905810891838722	0.14801859167597703	0.07356990724321752	0.2351423788486073	nonLymphoMyeloid	PFmid	mann_whitney_pval	Full	lincrna
